"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","2_18a_D1_PROKKA_07032020","2_18b_A4_PROKKA_07032020","2_18b_D1_PROKKA_07032020","2_18b_D3_PROKKA_07032020","3_18a_D6_PROKKA_07032020","3_18b_C5_PROKKA_07132020","3_18b_D5_PROKKA_07132020","3_18c_C3_PROKKA_07142020","O_acuminata_ref_PROKKA_04122021"
"lacF_2","","Lactose transport system permease protein LacF","9","9","1","1","13111","","","","929","953","934","ACMNIIJE_00925","KBJLFPIH_00279","OLBDELFK_00877","FIJMHGMP_03885","AMABMDDH_04974","AKMBOJBH_05261","LNNPAFAO_03982","EOJAOBGC_05198","CPEPOGAB_04208"
"group_1001","","hypothetical protein","9","9","1","1","13112","","","","1265","1265","1265","ACMNIIJE_00926","KBJLFPIH_00280","OLBDELFK_00878","FIJMHGMP_03884","AMABMDDH_04973","AKMBOJBH_05260","LNNPAFAO_03981","EOJAOBGC_05197","CPEPOGAB_04209"
"purU","","Formyltetrahydrofolate deformylase","9","9","1","1","13126","","","","857","857","857","ACMNIIJE_00932","KBJLFPIH_00286","OLBDELFK_00884","FIJMHGMP_03878","AMABMDDH_04967","AKMBOJBH_05254","LNNPAFAO_03975","EOJAOBGC_05191","CPEPOGAB_04215"
"group_1004","","hypothetical protein","9","9","1","1","13181","","","","812","812","812","ACMNIIJE_00935","KBJLFPIH_00289","OLBDELFK_00887","FIJMHGMP_03875","AMABMDDH_04964","AKMBOJBH_05251","LNNPAFAO_03972","EOJAOBGC_05188","CPEPOGAB_04218"
"cmpR_2","","HTH-type transcriptional activator CmpR","9","9","1","1","16432","","","","1010","1010","1010","ACMNIIJE_00949","KBJLFPIH_05171","OLBDELFK_00901","FIJMHGMP_03862","AMABMDDH_05220","AKMBOJBH_02652","LNNPAFAO_04330","EOJAOBGC_05120","CPEPOGAB_04183"
"gnd","","6-phosphogluconate dehydrogenase, decarboxylating","9","9","1","1","16403","","","","1457","1457","1457","ACMNIIJE_00953","KBJLFPIH_05039","OLBDELFK_01922","FIJMHGMP_02838","AMABMDDH_03684","AKMBOJBH_02778","LNNPAFAO_05094","EOJAOBGC_05239","CPEPOGAB_04816"
"minE","","Cell division topological specificity factor","9","9","1","1","8767","","","","359","404","384","ACMNIIJE_03360","KBJLFPIH_01913","OLBDELFK_02711","FIJMHGMP_00534","AMABMDDH_02401","AKMBOJBH_01370","LNNPAFAO_01374","EOJAOBGC_03657","CPEPOGAB_03760"
"group_1011","","Putative transport protein","9","9","1","1","5873","","","","1064","1175","1112","ACMNIIJE_01019","KBJLFPIH_00340","OLBDELFK_02170","FIJMHGMP_03183","AMABMDDH_02517","AKMBOJBH_00540","LNNPAFAO_04230","EOJAOBGC_04465","CPEPOGAB_00292"
"group_1012","","hypothetical protein","9","9","1","1","5926","","","","428","428","428","ACMNIIJE_01040","KBJLFPIH_00358","OLBDELFK_02191","FIJMHGMP_03203","AMABMDDH_02537","AKMBOJBH_00559","LNNPAFAO_04208","EOJAOBGC_04485","CPEPOGAB_00274"
"group_1015","","hypothetical protein","9","9","1","1","5959","","","","449","449","449","ACMNIIJE_01059","KBJLFPIH_00378","OLBDELFK_02210","FIJMHGMP_03224","AMABMDDH_02559","AKMBOJBH_00583","LNNPAFAO_04186","EOJAOBGC_04736","CPEPOGAB_00255"
